code,name_th,date,cpi_index
00000,รวมทุกรายการ,2025-01-01,100.57
10000,หมวดอาหารและเครื่องดื่มไม่มีแอลกอฮอล์,2025-01-01,101.16
11000,อาหารปรุงที่บ้าน,2025-01-01,99.99
11100,ข้าว  แป้งและผลิตภัณฑ์จากแป้ง,2025-01-01,103.85
11110,ข้าว,2025-01-01,104.5
11120,แป้งและผลิตภัณฑ์จากแป้ง,2025-01-01,101.81
11121,แป้ง,2025-01-01,100.97
11122,ผลิตภัณฑ์จากแป้ง,2025-01-01,101.83
11200,เนื้อสัตว์ เป็ดไก่ และสัตว์น้ำ,2025-01-01,97.95
11210,เนื้อสัตว์,2025-01-01,93.07
11211,เนื้อสัตว์สด,2025-01-01,92.04
11212,เนื้อสัตว์แปรรูป,2025-01-01,100.24
11220,เป็ด ไก่,2025-01-01,100.09
11221,เป็ด ไก่  สด,2025-01-01,100.56
11222,เป็ด ไก่  สำเร็จรูปและแปรรูป,2025-01-01,
11230,ปลาและสัตว์น้ำ,2025-01-01,102.09
11231,ปลาน้ำจืดสด,2025-01-01,103.57
11232,ปลาน้ำทะเลสด,2025-01-01,96.96
11233,สัตว์น้ำ,2025-01-01,102.2
11234,ปลาแปรรูป,2025-01-01,102.23
11235,สัตว์น้ำแปรรูป,2025-01-01,104.77
11300,ไข่และผลิตภัณฑ์นม,2025-01-01,101.17
11310,ไข่,2025-01-01,99.11
11320,นมและผลิตภัณฑ์นม,2025-01-01,102.91
11400,ผักและผลไม้,2025-01-01,97.53
11410,ผักสดแปรรูปและอื่นๆ,2025-01-01,93.9
11411,ผักสด,2025-01-01,93.75
11412,ผักแปรรูปและอื่นๆ,2025-01-01,93.48
11420,ผลไม้สดแปรรูปและอื่นๆ,2025-01-01,102.58
11421,ผลไม้สด,2025-01-01,102.53
11422,ผลไม้แปรรูปและอื่น ๆ,2025-01-01,105.59
11500,เครื่องประกอบอาหาร,2025-01-01,102.69
11510,ผลิตภัณฑ์น้ำตาล,2025-01-01,
11511,น้ำตาลและขนมหวาน,2025-01-01,
11520,เครื่องปรุงอาหาร,2025-01-01,102.42
11521,น้ำมันและไขมัน,2025-01-01,104.06
11522,เครื่องปรุงรส,2025-01-01,101.44
11600,เครื่องดื่มไม่มีแอลกอฮอล์,2025-01-01,104.02
11700,ผลิตภัณฑ์น้ำตาล,2025-01-01,104.02
11710,น้ำตาลและขนมหวาน,2025-01-01,104.02
12000,อาหารสำเร็จรูป,2025-01-01,103.04
12100,อาหารบริโภค-ในบ้าน,2025-01-01,
12200,อาหารบริโภค-นอกบ้าน,2025-01-01,
12300,อาหารพร้อมทาน,2025-01-01,102.79
12400,อาหารจากร้านยอดนิยม,2025-01-01,102.57
12500,อาหารฟาสต์ฟู้ด/delivery,2025-01-01,105.33
20000,หมวดเครื่องนุ่งห่มและรองเท้า,2025-01-01,99.55
21000,ผ้าและเสื้อผ้า,2025-01-01,99.47
21100,บุรุษ,2025-01-01,99.03
21110,ผ้าบุรุษ,2025-01-01,
21120,เครื่องแบบชาย,2025-01-01,101.34
21130,เสื้อบุรุษ,2025-01-01,98.34
21140,กางเกงบุรุษ,2025-01-01,98.49
21150,เสื้อผ้าบุรุษอื่นๆ,2025-01-01,101.39
21160,เครื่องประดับบุรุษ,2025-01-01,98.76
21200,สตรี,2025-01-01,99.38
21210,ผ้าสตรี,2025-01-01,
21220,เครื่องแบบหญิง,2025-01-01,101.91
21230,เสื้อสตรี,2025-01-01,98.87
21240,กางเกงสตรีและกระโปรงสตรี,2025-01-01,99.55
21250,เสื้อผ้าสตรีอื่นๆ,2025-01-01,100.36
21260,เครื่องประดับสตรี,2025-01-01,
21300,เด็ก,2025-01-01,100.17
21310,เครื่องแบบเด็ก,2025-01-01,102.93
21320,เสื้อเด็ก,2025-01-01,98.26
21330,กางเกงเด็ก,2025-01-01,98.62
