Date,Price
2023-01-01,33.2294
2023-02-01,34.0059
2023-03-01,34.5012
2023-04-01,34.28
2023-05-01,34.242
2023-06-01,34.9129
2023-07-01,34.6291
2023-08-01,35.0376
2023-09-01,35.8346
2023-10-01,36.5168
2023-11-01,35.4643
2023-12-01,34.9726
2024-01-01,35.1766
2024-02-01,35.8541
2024-03-01,35.9495
2024-04-01,36.7868
2024-05-01,36.6324
2024-06-01,36.7057
2024-07-01,36.3001
2024-08-01,34.7568
2024-09-01,33.3626
2024-10-01,33.3638
2024-11-01,34.4455
2024-12-01,34.1885
2025-01-01,34.2692
2025-02-01,33.7778
2025-03-01,33.8155
2025-04-01,33.7522
2025-05-01,32.9462
2025-06-01,32.6229
2025-07-01,32.4435
2025-08-01,32.4555
2025-09-01,32.0017
2025-10-01,32.5546
