datetime,date,update_time,gold_buy,gold_sell,gold_bar_buy,gold_bar_sell,timestamp,source_url
2023-01-02,02/01/2566,09:29,29750.0,29850.0,29213.32,30350.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-03,03/01/2566,16:20,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-04,04/01/2566,14:40,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-05,05/01/2566,11:10,29650.0,29750.0,29122.36,30250.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-06,06/01/2566,09:49,29550.0,29650.0,29016.24,30150.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-07,07/01/2566,09:09,29650.0,29750.0,29122.36,30250.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-09,09/01/2566,13:22,29650.0,29750.0,29122.36,30250.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-10,10/01/2566,15:56,29650.0,29750.0,29122.36,30250.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-11,11/01/2566,12:37,29700.0,29800.0,29167.84,30300.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-12,12/01/2566,13:04,29700.0,29800.0,29167.84,30300.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-13,13/01/2566,12:38,29650.0,29750.0,29122.36,30250.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-14,14/01/2566,09:15,29750.0,29850.0,29213.32,30350.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-16,16/01/2566,16:21,29800.0,29900.0,29258.8,30400.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-17,17/01/2566,10:20,29800.0,29900.0,29258.8,30400.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-18,18/01/2566,10:56,29700.0,29800.0,29167.84,30300.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-19,19/01/2566,13:38,29800.0,29900.0,29258.8,30400.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-20,20/01/2566,16:39,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-21,21/01/2566,09:30,29750.0,29850.0,29213.32,30350.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-23,23/01/2566,15:42,29800.0,29900.0,29258.8,30400.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-24,24/01/2566,15:03,29950.0,30050.0,29410.4,30550.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-25,25/01/2566,17:16,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-26,26/01/2566,15:26,29950.0,30050.0,29410.4,30550.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-27,27/01/2566,15:54,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-28,28/01/2566,09:17,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-30,30/01/2566,15:04,29750.0,29850.0,29213.32,30350.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-01-31,31/01/2566,16:15,29700.0,29800.0,29167.84,30300.0,2025-11-11 23:50:32,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-มกราคม-2566/
2023-02-01,01/02/2566,13:59,29850.0,29950.0,29319.44,30450.0,2025-11-11 23:50:41,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-กุมภาพันธ์-2566/
2023-02-02,02/02/2566,15:10,30150.0,30250.0,29607.48,30750.0,2025-11-11 23:50:41,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-กุมภาพันธ์-2566/
2023-02-03,03/02/2566,17:05,29800.0,29900.0,29258.8,30400.0,2025-11-11 23:50:41,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-กุมภาพันธ์-2566/
2023-02-04,04/02/2566,09:30,29600.0,29700.0,29061.72,30200.0,2025-11-11 23:50:41,https://xn--42cah7d0cxcvbbb9x.com/ราคาทองย้อนหลัง-เดือน-กุมภาพันธ์-2566/
